BUILDING IRN,BUILDING NAME,DISTRICT IRN,DISTRICT NAME,ADDRESS,CITY,STATE,ZIP CODE,PHONE,PRINCIPAL,COUNTY,GRADE SPAN,INDICATORS MET GRADE,PERFORMANCE INDEX SCORE GRADE,4-YEAR GRADUATION RATE GRADE,5-YEAR GRADUATION RATE GRADE,OVERALL VALUE-ADDED GRADE,GIFTED VALUE-ADDED GRADE,LOWEST 20% VALUE-ADDED GRADE,SWD VALUE-ADDED GRADE,AMO GRADE,K-3 LITERACY IMPROVEMENT GRADE,ACHIEVEMENT COMPONENT GRADE,GRADUATION COMPONENT GRADE,PROGRESS COMPONENT GRADE,GAP CLOSING COMPONENT GRADE,K-3 LITERACY COMPONENT GRADE,PREPARED FOR SUCCESS GRADE
009803,Eaton High School,043935,Eaton Community City,600 Hillcrest Dr,Eaton,OH,45320-8501,(937) 456-1141,Scott A. Couch,Preble,9-12,F,C,B,B,A,B,B,A,F,NR,C,B,A,F,NR,D
009829,Echo Hills Elementary School,044834,Stow-Munroe Falls City School District,4405 Stow Rd,Stow,OH,44224-1844,(330) 689-5450,David A. Ulbricht,Summit,K-4,D,C,NR,NR,A,D,B,C,F,D,C,NR,B,F,D,NR
009871,East Knox Elementary School,047845,East Knox Local,23081 Coshocton Rd,Howard,OH,43028-9260,(740) 599-7000,CODY G. REESE,Knox,K-6,F,C,NR,NR,F,C,F,D,F,C,D,NR,D,F,C,NR
009886,Edgerton Elementary School,050617,Edgerton Local,111 E River St,Edgerton,OH,43517-9623,(419) 298-2332,Kermit E. Riehle,Williams,"K-6,P",D,B,NR,NR,A,C,NR,NR,A,B,B,NR,B,A,B,NR
009894,Edgerton High School,050617,Edgerton Local,111 E River St,Edgerton,OH,43517-9623,(419) 298-2331,Roger L. Cade II,Williams,7-12,F,C,A,A,D,C,D,NR,D,NR,C,A,C,D,NR,D
009902,Edgewater Elementary School,044909,Toledo City,5549 Edgewater Dr,Toledo,OH,43611-2498,(419) 726-2254,Elizabeth Bethany,Lucas,K-8,F,D,NR,NR,B,NR,D,NR,F,D,D,NR,B,F,D,NR
009910,Edgewood Middle School,045120,Wooster City,2695 Graustark Path,Wooster,OH,44691-1607,(330) 345-6475,Bradley E. Warner,Wayne,5-7,F,C,NR,NR,A,A,A,B,F,NR,C,NR,A,F,NR,NR
009927,SalemTownship Elementary School,050443,Little Miami Local,605 Welch Rd,Morrow,OH,45152-1090,(513) 899-5275,Lisa M. Smith,Warren,"P,K,3-4",D,B,NR,NR,A,B,B,A,C,F,B,NR,A,C,F,NR
009928,Edgewood Elementary School,045476,Marysville Exempted Village,203 Grove St,Marysville,OH,43040-1318,(937) 642-7801,David J. Hensinger,Union,K-4,D,B,NR,NR,B,D,A,A,B,C,C,NR,B,B,C,NR
009936,Edgewood High School,045856,Buckeye Local,2428 Blake Rd,Ashtabula,OH,44004-4548,(440) 997-5301,Michael R. Notar,Ashtabula,9-12,F,D,C,C,C,C,C,C,C,NR,D,C,C,C,NR,F
009944,Wallace H Braden Middle School,045856,Buckeye Local,3436 Edgewood Dr,Ashtabula,OH,44004-5967,(440) 998-0550,William C. Billington,Ashtabula,6-8,F,C,NR,NR,F,D,F,F,D,NR,D,NR,D,D,NR,NR
009953,Sullivant Avenue Community School,009953,Sullivant Avenue Community School,3435 Sullivant Ave,Columbus,OH,43204-1103,(614) 308-5991,Jamie A. Lama,Franklin,K-6,F,F,NR,NR,D,NR,F,NR,F,D,F,NR,D,F,D,NR
009954,Harrisburg Pike Community School,009954,Harrisburg Pike Community School,680 Harrisburg Pike,Columbus,OH,43223-2100,(614) 223-1510,Dreama R. Carroll,Franklin,K-6,F,F,NR,NR,F,NR,F,C,F,D,F,NR,D,F,D,NR
009955,Madison Avenue School of Arts,009955,Madison Avenue School of Arts,1511 Madison Ave,Toledo,OH,43604-4433,(419) 259-4000,Lindsey B. Day,Lucas,K-8,F,D,NR,NR,C,NR,C,A,F,C,F,NR,B,F,C,NR
009957,Klepinger Community School,009957,Klepinger Community School,3650 Klepinger Rd,Dayton,OH,45416-1919,(937) 610-1710,Melissa D. McManaway,Montgomery,K-8,F,D,NR,NR,A,NR,A,A,F,D,F,NR,A,F,D,NR
009964,Sciotoville Elementary Academy,009964,Sciotoville Elementary Academy,5540 3rd St,Sciotoville,OH,45662-5402,(740) 776-2916,Foresta Shope,Scioto,K-4,F,C,NR,NR,B,NR,C,B,F,C,D,NR,B,F,C,NR
009968,Sandy Valley Elementary School,049940,Sandy Valley Local,5018 State Route 183 NE,Magnolia,OH,44643-8325,(330) 866-9225,Victor J. Johnson,Tuscarawas,"K-5,P",F,C,NR,NR,F,D,D,F,F,C,C,NR,D,F,C,NR
009972,Sandy Valley Middle School,049940,Sandy Valley Local,5130 State Route 183 NE,Magnolia,OH,44643-8324,(330) 866-9416,Melissa D. Kiehl,Tuscarawas,6-8,F,C,NR,NR,A,A,B,B,D,NR,D,NR,A,D,NR,NR
009985,Edison Elementary School,045104,Willoughby-Eastlake City,5288 Karen Isle Dr,Willoughby,OH,44094-4376,(440) 942-2099,Jatina N. Threat,Lake,K-5,F,C,NR,NR,F,D,D,C,F,C,D,NR,D,F,C,NR
009990,Horizon Science Academy Elementary School,009990,Horizon Science Academy Elementary School,2835 Morse Rd,Columbus,OH,43231-6033,(614) 475-4585,Jessica L. Shoaf,Franklin,K-5,F,D,NR,NR,F,NR,F,F,F,A,D,NR,F,F,A,NR
009997,KIPP Columbus,009997,KIPP Columbus,2750 Agler Rd,Columbus,OH,43224-4616,(614) 263-6137,,Franklin,K-12,F,D,NR,NR,A,NR,A,A,F,B,D,NR,A,F,B,NR
010002,Shawnee Elementary,044131,Huron City Schools,712 Cleveland Rd E,Huron,OH,44839-1871,,,Erie,"K-2,P",NR,NR,NR,NR,NR,NR,NR,NR,NR,C,NR,NR,NR,NR,C,NR
010004,Anna Marie Ayers Elementary School,044347,Martins Ferry City,5002 Ayers Lime Stone Rd,Martins,OH,43935-1588,(740) 633-9352,Nickolas A. Stankovich,Belmont,"K-4,P",F,C,NR,NR,A,NR,A,A,F,C,D,NR,A,F,C,NR
010007,Horizon Science Academy Denison Elementary School,010007,Horizon Science Academy Denison Elementary School,2261 Columbus Rd,Cleveland,OH,44113-4230,(216) 661-8840,Tracy L. Hammond,Cuyahoga,K-5,F,F,NR,NR,F,NR,D,NR,F,F,F,NR,D,F,F,NR
010025,Edison Elementary School,043505,Ashland City,1202 Masters Ave,Ashland,OH,44805-1116,(419) 289-7965,,Ashland,K-3,F,C,NR,NR,NR,NR,NR,NR,F,A,D,NR,NR,F,A,NR
010033,Edison PreK-6 School,043844,Dayton City,228 N Broadway St,Dayton,OH,45402-6610,(937) 542-4540,Basharus E. Simmons,Montgomery,"P,K-8",F,F,NR,NR,A,NR,A,A,F,D,F,NR,A,F,D,NR
010036,Cesar Chavez College Preparatory School,010036,Cesar Chavez College Preparatory School,1500 W 3rd Ave Ste 125,Columbus,OH,43212-2883,(614) 294-3020,,Franklin,K-12,F,D,NR,NR,A,NR,B,NR,B,D,D,NR,A,B,D,NR
010041,Edison High School,046789,Edison Local (formerly Berlin-Milan),2603 State Route 113 E,Milan,OH,44846-9420,(419) 499-4652,Jeff W. Goodwin,Erie,9-12,D,C,A,A,A,NR,B,B,B,NR,C,A,A,B,NR,C
010058,Edison Middle School,049924,Perry Local,4201 13th St SW,Massillon,OH,44646-3447,(330) 478-6167,Diane L. Kittelberger,Stark,7-8,D,C,NR,NR,A,A,C,C,F,NR,C,NR,B,F,NR,NR
010074,Niles Middle School,044495,Niles City,411 Brown St,Niles,OH,44446-1441,(330) 652-5656,Samuel T. Reigle,Trumbull,6-8,F,D,NR,NR,F,F,F,F,F,NR,D,NR,F,F,NR,NR
010082,Elida Middle School,045773,Elida Local,4500 Sunnydale St,Elida,OH,45807-9593,(419) 331-2505,Douglas S. Drury,Allen,5-8,F,C,NR,NR,A,A,B,F,F,NR,D,NR,B,F,NR,NR
010090,Edon High School,050625,Edon Northwest Local,802 W Indiana St,Edon,OH,43518-9627,(419) 272-3113,Kayla A. Lapham,Williams,7-12,F,C,A,A,B,A,NR,A,F,NR,D,A,A,F,NR,D
010108,Edon Elementary School,050625,Edon Northwest Local,802 W Indiana St,Edon,OH,43518-9627,(419) 272-3213,Michelle L. Molargik,Williams,K-6,D,B,NR,NR,C,C,NR,NR,D,C,C,NR,C,D,C,NR
010132,Edwards Middle School,043661,Brunswick City,1497 Pearl Rd,Brunswick,OH,44212-3416,(330) 273-0488,Heidi J. Armentrout,Medina,6-8,F,C,NR,NR,A,A,A,A,D,NR,C,NR,A,D,NR,NR
010134,New Miami Middle School,046136,New Miami Local,600 Seven Mile Ave,Hamilton,OH,45011-5748,(513) 863-4917,Kara E. Hanges,Butler,6-8,F,D,NR,NR,A,NR,A,B,D,NR,D,NR,A,D,NR,NR
010157,Elda Elementary School,046144,Ross Local,3980 Hamilton Cleves Rd,Hamilton,OH,45013-9557,(513) 738-1972,Jesse Kohls,Butler,K-4,D,B,NR,NR,F,F,D,D,B,C,C,NR,D,B,C,NR
010158,Mansfield Spanish Immersion School,044297,Mansfield City,240 Euclid Ave,Mansfield,OH,44903-1816,(419) 525-6321,Carmen G. Costa,Richland,K-8,A,A,NR,NR,B,C,NR,NR,A,NR,A,NR,B,A,NR,NR
010162,Freedom Trail Elementary,046763,Olentangy Local,6743 Bale Kenyon Rd,Lewis,OH,43035-9312,(740) 657-5700,Stephen W. Sargent,Delaware,K-5,B,B,NR,NR,C,D,A,B,C,NR,B,NR,B,C,NR,NR
010163,Cheshire Elementary,046763,Olentangy Local,2681 Gregory Rd,Delaware,OH,43015-9441,(740) 657-5750,Justin J. Syroka,Delaware,"K-5,P",B,B,NR,NR,F,F,B,C,D,C,B,NR,D,D,C,NR
010164,Heritage Elementary School,046763,Olentangy Local,679 Lewis Center Rd,Lewis Center,OH,43035-9049,(740) 657-5000,Susan L. Staum,Delaware,"K-5,P",B,B,NR,NR,F,F,D,D,C,NR,B,NR,D,C,NR,NR
010166,Berkshire Middle School,046763,Olentangy Local,2869 S. Three B's & K Road,Galena,OH,43021,(740) 657-5200,Carla G. Baker,Defiance,6-8,A,B,NR,NR,F,F,B,F,D,NR,B,NR,D,D,NR,NR
010173,Elgin High School,048413,Elgin Local,1150 Keener Rd S,Marion,OH,43302-8860,(740) 383-5118,Chad E. Cunningham,Marion,9-12,F,D,A,B,C,NR,C,F,F,NR,D,A,C,F,NR,D
010180,Mount Auburn International Academy,010180,Mount Auburn International Academy,244 Southern Ave,Cincinnati,OH,45219-3023,(513) 241-5500,,Hamilton,K-12,F,F,D,NR,F,NR,F,F,F,D,F,D,F,F,D,F
010182,Performance Academy Eastland,010182,Performance Academy Eastland,2220 S Hamilton Rd,Columbus,OH,43232-4304,(614) 314-6301,Norbert D. Tate,Franklin,K-12,F,D,NR,NR,D,NR,C,C,F,F,D,NR,C,F,F,NR
010194,Frontier Middle School,050492,Frontier Local,44870 State Route 7,New,OH,45767,(740) 865-3442,William F. Creighton,Washington,7-8,F,D,NR,NR,B,NR,A,B,D,NR,D,NR,A,D,NR,NR
010196,Northridge Intermediate,048033,Northridge Local,6066 Johnstown Utica Rd,Johnstown,OH,43031-9408,(740) 967-1401,Jason A. Brasno,Licking,4-5,F,C,NR,NR,C,C,C,D,F,NR,C,NR,C,F,NR,NR
010197,Northridge Primary,048033,Northridge Local,124 College St,Alexandria,OH,43001,(740) 924-2691,Jamie E. Johnson,Licking,K-3,F,C,NR,NR,NR,NR,NR,NR,F,D,D,NR,NR,F,D,NR
010198,Midview East Intermediate School,048173,Midview Local,13060 Durkee Rd,Grafton,OH,44044-1122,(440) 748-1851,Amanda K. Musselman,Lorain,5-6,F,C,NR,NR,F,F,F,F,C,NR,C,NR,F,C,NR,NR
010199,Elida High School,045773,Elida Local,401 E North St,Elida,OH,45807-1098,(419) 331-4115,Darren S. Sharp,Allen,9-12,F,D,B,C,D,A,C,D,F,NR,D,C,C,F,NR,D
010200,MC^2 STEM High School,043786,Cleveland Municipal,601 Erieside Ave,Cleveland,OH,44114-1021,(216) 744-1512,Feowyn A. Mackinnon,Cuyahoga,9-12,F,F,C,B,F,NR,F,F,F,NR,F,B,F,F,NR,F
010201,Design Lab @ Health Careers,043786,Cleveland Municipal,1740 E 32nd St,Cleveland,OH,44114-4514,(216) 838-8150,Eric R. Juli,Cuyahoga,9-12,F,F,F,C,F,NR,C,C,F,NR,F,D,D,F,NR,F
010205,L. Hollingworth School for Talented and Gifted,010205,L. Hollingworth School for Talented and Gifted,653 Miami St,Toledo,OH,43605-2277,(419) 705-3411,Terrence Franklin,Lucas,K-12,F,D,NR,NR,F,NR,F,F,F,C,F,NR,F,F,C,NR
010207,Miami East Elementary,048629,Miami East Local,4025 North State Route 589,Casstown,OH,45312,(937) 335-5439,Brian Rohrer,Miami,K-5,D,B,NR,NR,A,B,C,C,B,C,B,NR,B,B,C,NR
010215,Elizabeth Price Elementary School,043836,Cuyahoga Falls City,2610 Delmore St,Cuyahoga Falls,OH,44221-3551,(330) 926-3806,John W. Musat,Summit,K-5,F,C,NR,NR,F,D,F,D,C,C,C,NR,D,C,C,NR
010216,Canton City Digital Academy,043711,Canton City,401 14th St SE,Canton,OH,44707-3819,,James L. Pappas II,Stark,7-12,F,F,F,F,D,NR,C,NR,NR,NR,F,F,C,NR,NR,F
010243,Lockland Middle School,044230,Lockland Local,249 W Forrer St,Lockland,OH,45215-3014,(513) 563-5000,Robert J. Longworth,Hamilton,7-8,F,F,NR,NR,A,NR,B,C,F,NR,F,NR,B,F,NR,NR
010244,Danbury Middle School,048934,Danbury Local,9451 E Harbor Rd,Lakeside,OH,43440-1310,(419) 798-2258,Joseph G. Miller,Ottawa,5-8,F,C,NR,NR,A,NR,B,B,F,NR,C,NR,A,F,NR,NR
010249,Ella Canavan Elementary School,044388,Medina City SD,825 Lawrence St,Medina,OH,44256-2809,(330) 636-4000,Brian T. Condit,Medina,K-5,D,B,NR,NR,C,F,C,A,B,C,B,NR,C,B,C,NR
010272,Ellet High School,043489,Akron City,309 Woolf Ave,Akron,OH,44312-1629,(330) 794-4120,Michelle M. Marquess-Kearns,Summit,9-12,F,D,C,B,F,C,F,F,F,NR,D,C,D,F,NR,D
010295,Welch Elementary School,047365,Northwest Local,12084 Deerhorn Dr,Cincinnati,OH,45240-1004,(513) 742-1240,Jemel L. Weathers,Hamilton,K-3,F,D,NR,NR,NR,NR,NR,NR,F,C,D,NR,NR,F,C,NR
010298,Western Reserve Elementary School,048397,Western Reserve Local,13850 W Akron Canfield Rd,Berlin Center,OH,44401-9752,(330) 547-4100,Deborah F. Farelli,Mahoning,K-5,D,B,NR,NR,C,NR,B,C,B,B,C,NR,B,B,B,NR
010306,Elm Avenue Elementary School,045146,Wyoming City,134 Elm Ave,Wyoming,OH,45215-4326,(513) 206-7315,Jennifer A. Klein,Hamilton,K-4,B,A,NR,NR,B,D,NR,NR,A,NR,A,NR,B,A,NR,NR
010314,Martins Ferry Middle School,044347,Martins Ferry City,5000 Ayers Limestone Rd,Martins Ferry,OH,43935-1588,(740) 633-9741,Michael J. Delatore,Belmont,5-8,F,D,NR,NR,F,C,F,F,F,NR,D,NR,D,F,NR,NR
010348,Wauseon Elementary School,045641,Wauseon Exempted Village,220 Lawerance Ave.,Wauseon,OH,43567-1419,(419) 335-6581,Theresa M. Vietmeier,Fulton,3-5,D,B,NR,NR,B,D,A,A,B,C,C,NR,B,B,C,NR
010355,Toth Elementary School,045583,Perrysburg Exempted Village,200 E 7th St,Perrysburg,OH,43551-2304,(419) 874-3123,Mary B. Johnson-Christoff,Wood,K-4,B,A,NR,NR,A,A,NR,B,A,NR,A,NR,A,A,NR,NR
010371,Elmhurst Elementary School,044909,Toledo City,4530 Elmhurst Rd,Toledo,OH,43613-3128,(419) 671-3550,Lynn M. Moran,Lucas,K-8,D,C,NR,NR,A,A,B,A,D,B,C,NR,A,D,B,NR
010413,Elmwood Elementary School,044040,Garfield Heights City Schools,5275 Turney Rd,Garfield Heights,OH,44125-2661,(216) 475-8110,Gwen M. Abraham,Cuyahoga,K-5,F,D,NR,NR,F,NR,C,B,F,C,D,NR,D,F,C,NR
010421,Keifer Academy,044818,Springfield City School District,601 Selma Rd,Springfield,OH,45505-2034,(937) 505-4120,Gary L. Cross,Clark,K-12,F,F,F,F,F,NR,F,F,F,NR,F,F,F,F,NR,F
010439,Elmwood High School,050682,Elmwood Local,7650 Jerry City Rd,Bloomdale,OH,44817-9763,(419) 655-2583,Thomas D. Bentley,Wood,9-12,F,D,A,A,C,C,C,F,D,NR,D,A,C,D,NR,D
010447,Elmwood Place Elementary School,044719,St Bernard-Elmwood Place City,400 Maple St,Cincinnati,OH,45216-2128,(513) 482-7115,Sherry M. Peters,Hamilton,K-6,D,B,NR,NR,A,NR,C,A,B,C,C,NR,B,B,C,NR
010454,Ely Elementary School,043943,Elyria City Schools,312 Gulf Rd,Elyria,OH,44035-3641,(440) 284-8005,Jack M. Dibee,Lorain,K-5,F,D,NR,NR,D,NR,C,B,F,D,D,NR,C,F,D,NR
010462,Elyria High School,043943,Elyria City Schools,311 6th St,Elyria,OH,44035-5803,(440) 284-8300,Timothy R. Brown,Lorain,9-12,F,D,C,C,F,F,F,F,F,NR,D,C,F,F,NR,F
010504,Emerson Elementary School,045047,Westerville City,44 N Vine St,Westerville,OH,43081-1530,(614) 797-7080,Christine R. Doolittle,Franklin,K-5,B,B,NR,NR,B,A,NR,NR,A,B,B,NR,A,A,B,NR
010512,Emerson Elementary School,044784,Sidney City,901 Campbell Rd,Sidney,OH,45365-2501,(937) 497-2261,Michael L. Moore,Shelby,K-4,F,C,NR,NR,C,NR,C,C,F,C,D,NR,C,F,C,NR
010595,Englewood Elementary School,048728,Northmont City,702 Albert St,Englewood,OH,45322-1702,(937) 832-5900,Joseph A. Johnston,Montgomery,2-6,D,B,NR,NR,A,A,B,B,C,C,C,NR,A,C,C,NR
010603,Englewood Hills Elementary School,048728,Northmont City,508 Durst Dr,Englewood,OH,45322-2322,(937) 832-5950,Kathryn E. Grothaus,Montgomery,2-6,F,C,NR,NR,A,B,C,C,B,NR,C,NR,B,B,NR,NR
010611,Indian Valley Intermediate School,046235,Greenon Local,510 Enon Xenia Pike,Enon,OH,45323-1759,(937) 864-7348,Michael D. Weaver,Clark,2-6,F,C,NR,NR,F,C,F,F,F,D,D,NR,D,F,D,NR
010652,Erieview Elementary School,048124,Avon Lake City,32630 Electric Blvd,Avon Lake,OH,44012-1657,(440) 933-6282,David J. Schindler,Lorain,K-4,D,B,NR,NR,D,NR,C,C,A,C,B,NR,C,A,C,NR
010660,North Royalton High School,044545,North Royalton City,14713 Ridge Rd,North Royalton,OH,44133-4943,(440) 582-7801,Sean P. Osborne,Cuyahoga,9-12,F,C,A,A,D,B,C,F,F,NR,C,A,C,F,NR,C
010686,Ervin Carlisle Elementary School,043877,Delaware City,746 St Rt 37 W,Delaware,OH,43015,(740) 833-1450,Paula M. Vertikoff,Delaware,K-5,F,C,NR,NR,F,F,D,C,F,C,C,NR,D,F,C,NR
010702,Coventry Middle School,049999,Coventry Local,3257 Cormany Rd,Akron,OH,44319-1425,(330) 644-2232,Tina M. Norris,Summit,5-8,F,C,NR,NR,F,C,F,F,F,NR,D,NR,D,F,NR,NR
010751,Eastern Heights Middle School,043943,Elyria City Schools,528 Garford Ave,Elyria,OH,44035-6410,(440) 284-8015,Kimberly S. Benetto,Lorain,6-8,F,D,NR,NR,F,F,F,F,F,NR,D,NR,F,F,NR,NR
010769,Eastern High School,046037,Eastern Local,11557 US Highway 62,Winchester,OH,45697-9690,(937) 695-9913,Jennifer A. Grimes,Brown,9-12,F,C,B,B,F,NR,B,C,D,NR,D,B,D,D,NR,F
010777,Etna Elementary School,048041,Southwest Licking Local,8500 Columbia Rd SW,Pataskala,OH,43062-9278,(740) 927-5906,Tanya B. Moore,Licking,4-5,D,B,NR,NR,A,A,A,A,C,NR,C,NR,A,C,NR,NR
010785,Etna Road Elementary School,045070,Whitehall City,4531 Etna Rd,Whitehall,OH,43213-1947,(614) 417-5400,Jessica S. Horowitz-Moore,Franklin,2-5,F,D,NR,NR,A,B,A,C,F,D,D,NR,B,F,D,NR
010793,Euclid Central Middle School,043950,Euclid City,20701 Euclid Ave,Euclid,OH,44117-1522,(216) 797-5300,Michael J. Mennel,Cuyahoga,6-7,F,F,NR,NR,F,A,D,F,F,NR,F,NR,D,F,NR,NR
010801,Euclid Park Elementary School,043786,Cleveland Municipal,17914 Euclid Ave,Cleveland,OH,44112-1222,(216) 838-0700,Jennifer R. Woody,Cuyahoga,K-8,F,D,NR,NR,C,NR,B,C,F,C,F,NR,B,F,C,NR
010811,Ruskin PreK-6 School,043844,Dayton City,407 Ambrose Ct,Dayton,OH,45410-1556,(937) 542-5680,Jennifer J. Dearwester,Montgomery,"P,K-8",F,D,NR,NR,A,C,A,C,F,C,D,NR,B,F,C,NR
010819,Euclid High School,043950,Euclid City,711 E 222nd St,Euclid,OH,44123-2033,(216) 797-7800,,Cuyahoga,8-12,F,F,F,F,A,B,A,C,F,NR,F,F,B,F,NR,F
010827,Evamere Elementary School,050021,Hudson City,76 N Hayden Pkwy,Hudson,OH,44236-3150,(330) 653-1226,Laura E. Trivelli,Summit,K-1,NR,NR,NR,NR,NR,NR,NR,NR,NR,C,NR,NR,NR,NR,C,NR
010836,Gallia Academy Middle School,044032,Gallipolis City,340 4th Ave,Gallipolis,OH,45631-1109,(740) 446-3214,Craig D. Wright,Gallia,6-8,F,D,NR,NR,F,F,F,F,F,NR,D,NR,F,F,NR,NR
010843,Evendale Elementary School,044677,Princeton City,3940 Glendale Milford Rd,Cincinnati,OH,45241-3206,(513) 864-1200,Joycelyn L. Senter,Hamilton,"K-5,P",F,B,NR,NR,F,D,C,F,F,B,C,NR,D,F,B,NR
010868,Evening Street Elementary School,045138,Worthington City,885 Evening St,Worthington,OH,43085-3048,(614) 450-4400,Mary A. Rykowski,Franklin,K-6,A,A,NR,NR,B,C,NR,A,A,NR,A,NR,B,A,NR,NR
010876,Arts Impact Middle School (Aims),043802,Columbus City,680 Jack Gibbs Blvd,Columbus,OH,43215-1708,(614) 365-5558,Leon C. Leavell,Franklin,6-8,F,D,NR,NR,F,A,D,D,F,NR,F,NR,D,F,NR,NR
010884,Evergreen High School,047050,Evergreen Local,14544 County Road 6,Metamora,OH,43540-9741,(419) 644-2951,Joshua L. Clark,Fulton,9-12,D,C,A,A,A,A,NR,B,D,NR,C,A,A,D,NR,D
010926,Fairbanks High School,050328,Fairbanks Local,11158 State Route 38,Milford Center,OH,43045-9764,(937) 349-3721,Tom Montgomery,Union,9-12,F,C,A,A,A,A,C,D,D,NR,C,A,B,D,NR,C
010967,Fairfax Elementary School,043794,Cleveland Heights-University Heights City,3150 Fairfax Rd,Cleveland Heights,OH,44118-4042,(216) 371-7480,Quatrice M. James,Cuyahoga,K-5,F,C,NR,NR,D,D,C,F,D,C,D,NR,D,D,C,NR
010975,Fairfax Elementary School,045492,Mentor Exempted Village,6465 Curtiss Ct,Mentor,OH,44060-2414,(440) 255-7223,Melanie D. Pearn,Lake,K-5,F,C,NR,NR,C,NR,C,C,C,C,C,NR,C,C,C,NR
010983,Crestview Middle School,046433,Crestview Local,44100 Crestview Rd Ste C,Columbiana,OH,44408-9660,(330) 482-4648,Jeff J. Richardson,Columbiana,5-8,F,C,NR,NR,A,A,C,C,C,NR,C,NR,B,C,NR,NR
010991,Fairfield Freshman High School,046102,Fairfield City,8790 N Gilmore Rd,Fairfield,OH,45014-2934,(513) 829-8300,Michael J. Berkemeier,Butler,9-11,B,C,NR,NR,A,A,A,A,A,NR,B,NR,A,A,NR,NR
011007,Fairfield Elementary School,044362,Maumee City,1313 Eastfield Dr,Maumee,OH,43537-2308,(419) 893-9821,Michele S. Loboschefski,Lucas,K-3,D,B,NR,NR,NR,NR,NR,NR,A,C,C,NR,NR,A,C,NR
011023,South Central Elementary School,047738,South Central Local,3291 Greenwich Angling Rd,Greenwich,OH,44837-9443,(419) 752-0011,Dennis C. Blanchard,Huron,K-5,F,C,NR,NR,A,NR,C,C,F,D,C,NR,B,F,D,NR
011031,Fairfield Local Elementary School,047621,Fairfield Local,11611 State Route 771,Leesburg,OH,45135-8601,(937) 780-2988,Deanne R. Miller,Highland,K-4,F,B,NR,NR,D,C,D,B,C,B,C,NR,C,C,B,NR
011049,Fairfield High School,046102,Fairfield City,8800 Holden Blvd,Fairfield,OH,45014-2100,(513) 942-2999,William R. Rice,Butler,10-12,F,D,B,A,F,C,A,F,F,NR,D,A,D,F,NR,D
011056,Fairfield Local High School,047621,Fairfield Local,11611 State Route 771,Leesburg,OH,45135-8601,(937) 780-2966,Stephen J. Hackett,Highland,9-12,F,C,B,A,C,NR,NR,NR,D,NR,D,B,C,D,NR,F
011064,Bremen Elementary School,046870,Fairfield Union Local,210 Strayer Ave,Bremen,OH,43107-1149,(740) 569-4135,Dawn M. Rice,Fairfield,K-4,A,B,NR,NR,B,NR,NR,NR,A,B,A,NR,B,A,B,NR
011072,Fairfield Union High School,046870,Fairfield Union Local,6675 Cincinnati Zanesville Rd NE,Lancaster,OH,43130-9331,(740) 536-7188,Matthew R. McPhail,Fairfield,9-12,F,D,B,B,B,C,A,D,F,NR,D,B,B,F,NR,D
011106,Fairland East Elementary School,047936,Fairland Local,10732 State Route 7,Proctorville,OH,45669-8130,(740) 886-3120,Abbie E. Lewis  Pannell,Lawrence,K-2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
011114,Fairland High School,047936,Fairland Local,812 County Road 411,Proctorville,OH,45669-9408,(740) 886-3250,Otessa Y. Leep,Lawrence,9-12,F,D,A,A,F,D,C,F,F,NR,D,A,D,F,NR,D
011122,Fairland Middle School,047936,Fairland Local,7875 County Road 107,Proctorville,OH,45669-8771,(740) 886-3200,Paul A. Lewis,Lawrence,6-8,F,C,NR,NR,A,D,A,A,F,NR,C,NR,B,F,NR,NR
011130,Judith A Resnik Community Learning Center,043489,Akron City,65 N Meadowcroft Dr,Akron,OH,44313-6251,(330) 873-3370,Kristen L. Booth,Summit,K-5,F,C,NR,NR,F,D,C,C,F,C,D,NR,D,F,C,NR
011155,Fairlawn Elementary School,049775,Fairlawn Local,18800 Johnston Rd,Sidney,OH,45365-9755,(937) 492-5930,John K. Stekli,Shelby,"K-5,P",F,C,NR,NR,C,F,C,NR,D,C,C,NR,C,D,C,NR
011163,Fairlawn High School,049775,Fairlawn Local,18800 Johnston Rd,Sidney,OH,45365-9755,(937) 492-5930,John K. Stekli,Shelby,6-12,F,C,A,A,A,A,A,A,B,NR,D,A,A,B,NR,D
011171,Fairless High School,049841,Fairless Local,11885 Navarre Rd SW,Navarre,OH,44662-9485,(330) 767-3444,Larry L. Chambliss,Stark,9-12,F,D,A,B,F,D,F,F,B,NR,D,B,D,B,NR,D
011189,Fairmoor Elementary School,043802,Columbus City,3281 Mayfair Park Pl,Columbus,OH,43213-2282,(614) 365-6169,Linda C. Willis,Franklin,K-5,F,F,NR,NR,D,NR,C,C,F,D,F,NR,C,F,D,NR
011239,Fairport Harding High School,045369,Fairport Harbor Exempted Village,329 Vine St,Fairport Harbor,OH,44077-5741,(440) 354-3592,Thomas J. Fazekas,Lake,6-12,F,D,C,C,F,C,B,C,F,NR,D,C,D,F,NR,F
011247,Fairview-Clifton German Language School,043752,Cincinnati City,3689 Clifton Ave,Cincinnati,OH,45220-1703,(513) 363-2100,Monisha R. House,Hamilton,"K-6,P",D,B,NR,NR,F,F,F,F,F,C,B,NR,F,F,C,NR
